employee_id,age,gender,education_level,marital_status,tenure,job_role,department,salary,work_location,performance_rating,projects_completed,training_hours,promotions,overtime_hours,satisfaction_level,work_life_balance,average_monthly_hours_worked,absenteeism,distance_from_home,manager_feedback_score,churn
E00001,50,Male,Bachelor's,Married,5,Analyst,Marketing,93422.00,Remote,5.0,37,35,0,16,0.03,NULL,155,14,15.00,7.9,0
E00002,36,Male,Bachelor's,Married,4,Manager,Sales,44589.00,On-site,2.0,43,1,0,12,0.39,NULL,162,2,8.00,5.2,0
E00003,29,Male,Bachelor's,Married,3,Sales,IT,56768.00,Hybrid,1.0,38,41,0,2,0.62,NULL,243,6,21.00,6.3,0
E00004,42,Male,Bachelor's,Single,12,Analyst,Sales,79009.00,On-site,1.0,39,33,0,8,0.73,NULL,291,11,25.00,7.4,0
E00005,40,Other,Bachelor's,Married,1,Sales,HR,81982.00,On-site,3.0,49,30,0,13,0.52,NULL,272,3,1.00,4.1,0
E00006,44,Male,Bachelor's,Single,12,Developer,HR,82669.00,On-site,2.0,4,68,0,2,0.06,NULL,266,4,40.00,2.1,0
E00007,32,Male,High School,Married,12,Analyst,Marketing,127951.00,On-site,1.0,37,19,0,35,0.76,NULL,233,10,10.00,4.9,0
E00008,32,Male,Master's,Single,6,Manager,Sales,93655.00,Remote,1.0,48,37,0,19,0.39,NULL,204,1,14.00,7.3,0
E00009,45,Female,Master's,Single,4,Analyst,Sales,69050.00,Remote,3.0,12,74,0,45,0.18,NULL,162,15,36.00,4.9,1
E00010,57,Male,High School,Married,12,Developer,Marketing,106153.00,Hybrid,3.0,14,94,0,17,0.26,NULL,151,19,27.00,4.7,0
E00011,45,Female,Master's,Married,2,Developer,IT,79420.00,Remote,4.0,3,88,0,0,0.67,NULL,275,6,19.00,6.8,0
E00012,24,Female,Master's,Married,5,Sales,IT,104064.00,On-site,4.0,37,3,0,19,0.20,NULL,156,17,2.00,1.1,0
E00013,43,Male,High School,Divorced,7,Manager,HR,149835.00,On-site,4.0,30,84,0,28,0.09,NULL,171,5,4.00,7.0,0
E00014,23,Male,Bachelor's,Single,10,Manager,Sales,74784.00,On-site,4.0,29,61,0,23,0.62,NULL,205,13,24.00,1.5,0
E00015,45,Male,Bachelor's,Married,9,Manager,Sales,110337.00,Hybrid,2.0,1,0,0,31,0.65,NULL,253,0,36.00,10.0,0
